Comment,Designator,Footprint,LCSC,Quantity
1k,"R1,R2",R_0402_1005Metric,C11702,2
Micro USB 10118192-0001LF,J1,AMPHENOL_10118192-0001LF,C132564,1
100n,"C11,C12,C13,C14,C15,C3,C6,C7,C9",C_0402_1005Metric,C1525,9
10u,"C1,C2",C_0402_1005Metric,C15525,2
RP2040,U1,QFN56P40_700X700X90L40X18T310N,C2040,1
27,"R3,R4",R_0402_1005Metric,C25100,2
10k,R6,R_0402_1005Metric,C25744,1
W25Q16JVSS,U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
10pF,"C4,C5",C_0402_1005Metric,C32949,2
AMS1117-3.3,U2,SOT-89-3,C347256,1
1uF,"C10,C8",C_0402_1005Metric,C52923,2
D_Schottky,D1,D_SOD-123,C5377901,1
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
ProMicro,U5,ProMicro,,1
GND,J6,TestPoint_Pad_1.0x1.0mm,,1
DNF,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
D19,J12,TestPoint_Pad_1.0x1.0mm,,1
RST,J5,TestPoint_Pad_1.0x1.0mm,,1
D23,J16,TestPoint_Pad_1.0x1.0mm,,1
SWD,J3,TestPoint_Pad_1.0x1.0mm,,1
D22,J15,TestPoint_Pad_1.0x1.0mm,,1
D20,J13,TestPoint_Pad_1.0x1.0mm,,1
D21,J14,TestPoint_Pad_1.0x1.0mm,,1
SWCLK,J4,TestPoint_Pad_1.0x1.0mm,,1
