Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,127.56,-90.24,180.0,top
C10,1uF,C_0402_1005Metric,121.07,-95.856,-90.0,top
C11,100n,C_0402_1005Metric,115.95,-95.8,-90.0,top
C12,100n,C_0402_1005Metric,111.525,-90.7,180.0,top
C13,100n,C_0402_1005Metric,115.975,-85.375,90.0,top
C14,100n,C_0402_1005Metric,122.41,-86.28,0.0,top
C15,100n,C_0402_1005Metric,123.0,-90.95,0.0,top
C2,10uF,C_0402_1005Metric,125.54,-96.42,0.0,top
C3,100n,C_0402_1005Metric,125.9,-85.8,90.0,top
C4,10pF,C_0402_1005Metric,111.525,-88.6,180.0,top
C5,10pF,C_0402_1005Metric,107.325,-91.6,0.0,top
C6,100n,C_0402_1005Metric,122.995,-89.975,0.0,top
C7,100n,C_0402_1005Metric,111.55,-91.7,180.0,top
C8,1uF,C_0402_1005Metric,123.0,-93.95,0.0,top
C9,100n,C_0402_1005Metric,120.025,-95.85,-90.0,top
D1,D_Schottky,D_SOD-123,127.97,-87.22,90.0,top
J1,Micro USB 10118192-0001LF,AMPHENOL_10118192-0001LF,133.475,-90.67,90.0,top
R1,1k,R_0402_1005Metric,124.87,-85.84,90.0,top
R2,1k,R_0402_1005Metric,111.55,-89.675,180.0,top
R3,27,R_0402_1005Metric,122.985,-91.95,180.0,top
R4,27,R_0402_1005Metric,122.985,-92.95,180.0,top
R5,DNF,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.425,-86.525,180.0,bottom
R6,10k,R_0402_1005Metric,111.565,-94.05,180.0,top
U1,RP2040,QFN56P40_700X700X90L40X18T310N,117.1448,-90.551,180.0,top
U2,AMS1117-3.3,SOT-89-3,126.57,-93.33,180.0,top
U4,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,124.625,-88.1,0.0,top
U5,ProMicro,ProMicro,120.68,-90.62,-90.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,108.15,-89.275,0.0,top
